ID,TEXT,AGGRESSION_CLASS
1,"Oh, you think that's impressive?",CAG
2,"Wow, you're so brave for trying.",CAG
3,It's amazing what some people consider talent.,CAG
4,"Interesting take, I guess.",CAG
5,"Didn't expect you to get it, to be honest.",CAG
6,"That’s one way to look at it, I suppose.",CAG
7,"Oh, you're doing that again?",CAG
8,"You really believe that, huh?",CAG
9,Good luck with that!,CAG
10,"Well, you tried.",CAG
11,You're so unique... just like everyone else.,CAG
12,I see you've found your niche.,CAG
13,That must've taken you all day.,CAG
14,How original.,CAG
15,"Bold move, let's see how that works out.",CAG
16,"You're really committed to this, aren't you?",CAG
17,I guess everyone needs a hobby.,CAG
18,"So, you're still at it?",CAG
19,You have such a... distinct style.,CAG
20,That's a cute idea.,CAG
21,It's adorable how hard you try.,CAG
22,"Sure, if that's what you call talent.",CAG
23,"You're getting there, slowly.",CAG
24,One day you'll get it right.,CAG
25,"Oh, you're serious?",CAG
26,I guess there's a first time for everything.,CAG
27,"Well, that's... different.",CAG
28,Keep reaching for the stars.,CAG
29,"It's the effort that counts, right?",CAG
30,"You're something else, aren't you?",CAG
31,That's quite... ambitious.,CAG
32,If that's what makes you happy.,CAG
33,You sure love to try new things.,CAG
34,It's great to have dreams.,CAG
35,At least you're consistent.,CAG
36,You're so... determined.,CAG
37,That’s a new one.,CAG
38,How's that working out for you?,CAG
39,"You're getting better, kind of.",CAG
40,That's one way to do it.,CAG
41,"Oh, that's what you meant.",CAG
42,You're so persistent.,CAG
43,It's the thought that counts.,CAG
44,I see you're still going with that.,CAG
45,Your confidence is... inspiring.,CAG
46,That's a unique perspective.,CAG
47,You sure are passionate.,CAG
48,"You really go all out, don't you?",CAG
49,That’s... interesting.,CAG
50,You do you.,CAG
51,Never change.,CAG
52,That's certainly an idea.,CAG
53,If it works for you.,CAG
54,"Well, someone has to do it.",CAG
55,"It's an attempt, I suppose.",CAG
56,"You're really into that, huh?",CAG
57,I see you're sticking with that.,CAG
58,It's definitely you.,CAG
59,"So, you actually like that?",CAG
60,You sure about that?,CAG
61,That's one way to go.,CAG
62,You're nothing if not persistent.,CAG
63,You're a real character.,CAG
64,You always surprise me.,CAG
65,Keep on keeping on.,CAG
66,You're quite the dreamer.,CAG
67,"Well, aren't you something?",CAG
68,It's certainly... something.,CAG
69,That's quite the opinion.,CAG
70,I guess that's your thing.,CAG
71,"You've got a point, somewhere.",CAG
72,I see you’re sticking with that.,CAG
73,You're really set on this.,CAG
74,That's quite the statement.,CAG
75,You never cease to amaze.,CAG
76,It's a bold choice.,CAG
77,"If you're happy, that's what matters.",CAG
78,You’re always full of surprises.,CAG
79,That’s an... approach.,CAG
80,You're quite dedicated.,CAG
81,You’ve got guts.,CAG
82,Your enthusiasm is contagious.,CAG
83,It's interesting to see your take.,CAG
84,You've got a unique way.,CAG
85,You're always pushing boundaries.,CAG
86,That's an unexpected angle.,CAG
87,You're quite the thinker.,CAG
88,It's great to have ambition.,CAG
89,You always bring a fresh perspective.,CAG
90,You're always so creative.,CAG
91,It's a brave choice.,CAG
92,You always go all in.,CAG
93,You sure are consistent.,CAG
94,It's nice to see you’re committed.,CAG
95,You definitely stand out.,CAG
96,You really go for it.,CAG
97,That’s a unique contribution.,CAG
98,You’re always so innovative.,CAG
99,Your confidence is remarkable.,CAG
100,You’re always trying new things.,CAG
101,It’s a bold stance.,CAG
102,You’re really something else.,CAG
103,Your persistence is admirable.,CAG
104,It's clear you’re dedicated.,CAG
105,That’s quite the dedication.,CAG
106,You’ve got a special talent.,CAG
107,You’re always so driven.,CAG
108,You never back down.,CAG
109,Your creativity knows no bounds.,CAG
110,It's interesting to watch you.,CAG
111,You’re always so determined.,CAG
112,You have a way with words.,CAG
113,It's always a surprise with you.,CAG
114,You really put yourself out there.,CAG
115,You’re always full of ideas.,CAG
116,You never shy away from a challenge.,CAG
117,Your ideas are always so unique.,CAG
118,It's great to see your passion.,CAG
119,You always have a new angle.,CAG
120,Your enthusiasm is always evident.,CAG
121,You bring something new every time.,CAG
122,It’s nice to see your dedication.,CAG
123,You always think outside the box.,CAG
124,Your approach is always so fresh.,CAG
125,You have a unique style.,CAG
126,It’s always a new experience with you.,CAG
127,You really stand out.,CAG
128,You always bring something different.,CAG
129,It's interesting to see your work.,CAG
130,You always have a unique take.,CAG
131,Your creativity is endless.,CAG
132,You bring a new perspective.,CAG
133,It’s great to see your energy.,CAG
134,You always keep things interesting.,CAG
135,You have a distinctive style.,CAG
136,It’s always a new adventure with you.,CAG
137,You really push the envelope.,CAG
138,You always have a bold approach.,CAG
139,Your passion is clear.,CAG
140,You always bring your A-game.,CAG
141,It's always exciting with you.,CAG
142,You never cease to amaze.,CAG
143,Your determination is inspiring.,CAG
144,You always keep us guessing.,CAG
145,You’re always so original.,CAG
146,It’s always a surprise with you.,CAG
147,You bring something fresh every time.,CAG
148,You have a distinctive approach.,CAG
149,It's always something new with you.,CAG
150,You always make things interesting.,CAG
151,Your creativity is boundless.,CAG
152,You have a unique perspective.,CAG
153,You always keep it fresh.,CAG
154,You never fail to surprise.,CAG
155,Your energy is infectious.,CAG
156,You always push the limits.,CAG
157,You always bring a fresh idea.,CAG
158,Your passion is always evident.,CAG
159,You have an original style.,CAG
160,You always take a bold step.,CAG
161,It’s great to see your enthusiasm.,CAG
162,You always keep things lively.,CAG
163,You have a unique flair.,CAG
164,You always bring something new.,CAG
165,Your ideas are always refreshing.,CAG
166,You always think outside the box.,CAG
167,Your approach is always distinctive.,CAG
168,You always bring a fresh perspective.,CAG
169,Your creativity is limitless.,CAG
170,You always have a new idea.,CAG
171,You always bring excitement.,CAG
172,Your enthusiasm is always clear.,CAG
173,You have a distinctive flair.,CAG
174,You always take a new angle.,CAG
175,Your ideas are always unique.,CAG
176,You always bring a fresh look.,CAG
