TEXT,AGGRESSION_CLASS
You're a complete idiot for believing that.,OAG
"Just shut up already, no one cares about your opinion.",OAG
That’s the dumbest thing I've ever heard.,OAG
"You’re so stupid, how can you even function?",OAG
Only a moron would think like that.,OAG
"Keep talking, you're just embarrassing yourself.",OAG
What a pathetic excuse for a human being.,OAG
I can’t believe you’re this dumb.,OAG
You're a waste of space.,OAG
People like you shouldn't be allowed to speak.,OAG
How can you be so brainless?,OAG
You're a disgrace to humanity.,OAG
Why don't you just disappear?,OAG
It’s amazing how ignorant you are.,OAG
Stop being such an idiot.,OAG
No one with half a brain would agree with you.,OAG
Your existence is pointless.,OAG
You're the reason society is failing.,OAG
Just crawl back into whatever hole you came from.,OAG
How can someone be this clueless?,OAG
Your stupidity is astounding.,OAG
Only a fool would say something like that.,OAG
You're an absolute joke.,OAG
"Get lost, loser.",OAG
You’re the epitome of stupidity.,OAG
Everything you say is nonsense.,OAG
You should be ashamed of your ignorance.,OAG
No one cares about your worthless opinion.,OAG
You're a total loser.,OAG
Do everyone a favor and shut up.,OAG
You're nothing but a brainless moron.,OAG
You should just stop trying.,OAG
What a waste of a human.,OAG
It's hard to believe someone can be this stupid.,OAG
Your ignorance is showing.,OAG
You're an absolute failure.,OAG
Just go away.,OAG
You're a pathetic excuse for a person.,OAG
You're nothing but a joke.,OAG
Why don't you get a clue?,OAG
You’re a complete waste of time.,OAG
"Stop talking, you're only making it worse.",OAG
How can anyone be this dumb?,OAG
You're a total embarrassment.,OAG
Only an idiot would think like you.,OAG
No one needs your idiotic opinions.,OAG
You're a disgrace.,OAG
How can you be so incredibly stupid?,OAG
You're a complete moron.,OAG
Your brain must be non-existent.,OAG
You're a joke.,OAG
How can anyone take you seriously?,OAG
You're the dumbest person I've ever encountered.,OAG
"Just stop, you're making a fool of yourself.",OAG
You're completely clueless.,OAG
Everything you say is idiotic.,OAG
You're a failure at life.,OAG
Just disappear already.,OAG
You're beyond stupid.,OAG
No one can be this dumb.,OAG
You're a laughingstock.,OAG
You're so stupid it hurts.,OAG
How do you even function?,OAG
